編號,AREA,112迄今各里人口數按年齡分_cleaned_65_up,Area-2
"49",728705.26191,"1621",130.1147812693
"49",623233.11733,"1266",42614.5099883329
"49",159094.29486,"1455",131395.390380403
"49",560834.47371,"1970",130555.971301706
"49",206995.70996,"1259",202859.908696185
"49",624124.59742,"1693",710.5087313338
"49",218475.70711,"688",62717.0339896255
"49",144222.05814,"927",7960.4460246544
"45",364968.13445,"1865",72548.5262140022
"45",670330.95587,"1800",1226.4266181355
"45",219117.4451,"1686",41.673391086
"45",669795.31907,"1159",14125.2180897878
"45",408299.32066,"1683",284756.928419009
"45",193549.6826,"1569",192910.517428457
"45",1088175.29208,"1583",83480.4372848172
"45",133650.61666,"929",116687.645435067
"45",545276.1778,"1770",386411.031283049
"45",2312865.94483,"1374",32026.9297215268
"55",4193077.06362,"1175",7515.5475057932
"55",728705.26191,"1621",9873.8846497291
"55",2952868.20725,"1560",298802.634732144
"55",373742.21364,"1594",86283.083960984
"55",560834.47371,"1970",429576.114488781
"55",318182.64937,"2181",298668.852216327
"55",144222.05814,"927",31099.0381006361
"55",150653.11301,"1365",24235.6838420732
"55",178898.44907,"995",3707.8518775696
"59",4193077.06362,"1175",511678.518716252
"59",728705.26191,"1621",204195.703219849
"59",373742.21364,"1594",280554.569273525
"57",2952868.20725,"1560",821939.315717919
"57",2765554.74844,"1041",1011016.14864391
"57",6524937.50313,"715",144978.946179906
"90",412501.48008,"969",114657.787167423
"90",1328715.46712,"805",14541.801783393
"90",292167.98798,"1509",157503.030378975
"90",123966.90667,"1071",107688.202580222
"90",104380.78758,"1035",104322.782253676
"90",517029.87205,"1587",253369.599762623
"90",117639.29475,"1025",117652.692690143
"90",117846.07056,"1486",76113.7356888419
"90",586218.96066,"1673",112788.387352556
"90",284132.49816,"1089",38658.1824217259
"90",407157.39335,"1063",38486.8454643746
"90",132619.76841,"1691",41266.3327849675
"88",412501.48008,"969",82571.5450008602
"88",299349.04352,"1836",74338.4089932849
"88",292167.98798,"1509",78892.7795329235
"88",121876.21428,"765",121224.606237777
"88",164703.76603,"1328",109018.590533845
"88",82431.48648,"850",18760.1646660612
"88",104380.78758,"1035",69.920238046
"88",81502.91639,"1150",54254.9917323855
"88",57040.17459,"1277",57046.8156378918
"88",138766.72408,"1126",140695.774653476
"88",117846.07056,"1486",41745.8557253035
"88",82929.72024,"909",65792.7498360254
"88",108911.68646,"1258",63172.1976914834
"88",110822.30914,"912",32213.3408540934
"88",168195.98612,"1669",4390.5294162278
"88",132619.76841,"1691",24840.8771314963
"43",670330.95587,"1800",14761.7697859025
"43",360527.00264,"1593",14875.096469101
"43",219117.4451,"1686",184933.067910561
"43",872959.55346,"1448",8105.1645169344
"43",408299.32066,"1683",102700.163382243
"43",365946.50686,"995",188667.545064233
"43",1088175.29208,"1583",109525.583218705
"42",2379478.81125,"1323",123072.667256004
"42",364968.13445,"1865",57188.9132357155
"42",670330.95587,"1800",527541.104917187
"42",408299.32066,"1683",20888.5867449492
"41",872959.55346,"1448",652146.944793966
"41",365946.50686,"995",49923.2568067927
"41",251525.37309,"1346",108285.271517441
"41",1088175.29208,"1583",298600.74263877
"41",156908.13818,"1201",8920.7441361984
"41",268343.67825,"1045",235519.461129614
"41",93169.0889,"731",78798.5399115027
"41",417890.48964,"760",348161.005465272
"41",311398.31811,"1438",587.420300544
"41",1093810.55819,"694",75022.7868357821
"41",771534.06423,"196",3634.7538473625
"40",2930175.4949,"999",863901.199237169
"40",1146570.03377,"903",400826.61452078
"40",519959.82412,"1367",407554.956030855
"40",360527.00264,"1593",71470.2462840146
"40",872959.55346,"1448",87111.5180139815
"40",365946.50686,"995",16923.6305155871
"40",251525.37309,"1346",11807.6916912652
