編號,AREA,112迄今各里人口數按年齡分_cleaned_65_up,Area-2
"62",248232.68792,"1511",178954.877232064
"62",1710284.04973,"2441",234535.189178053
"62",273248.99786,"1729",71870.139216241
"62",224746.48592,"2092",224777.197000046
"62",3889644.71708,"1145",238751.966724814
"71",248232.68792,"1511",3863.8839035779
"71",1710284.04973,"2441",974393.71007842
"71",723840.63041,"1738",2476.4206476249
"71",631887.69762,"965",72647.921859365
"67",1669844.39807,"2046",47431.5995505191
"67",1710284.04973,"2441",44738.1969056353
"67",723840.63041,"1738",460547.556277337
"67",631887.69762,"965",39242.7172587227
"67",382711.05997,"1743",1349.4272653218
"61",631887.69762,"965",19556.3324295431
"61",319752.0581,"1712",43915.3145910066
"61",113637.53536,"931",16.2897817381
"61",175258.52639,"1296",65409.9647394406
"61",76641.76266,"1016",65809.8868348013
"61",423189.76535,"1028",137123.508513202
"61",370262.33557,"1022",124878.415888667
"61",345501.30472,"1348",55103.1775748096
"38",83118.6419,"643",11003.9148179749
"38",320981.8397,"616",135268.048369805
"38",217699.73657,"975",2774.8856582956
"38",162877.64849,"1620",29950.9924478427
"38",82430.18234,"786",76228.4900387834
"38",160836.53591,"657",157160.804415779
"38",240371.90963,"1918",18682.73004177
"38",93719.63213,"629",93732.2536169762
"38",101067.34258,"1395",101081.035380496
"38",44797.12443,"939",44639.5082391187
"38",100484.65005,"548",19133.8170555162
"38",109777.75368,"2057",109792.677786984
"38",140985.15321,"1282",141004.049216659
"38",94837.25507,"1148",94850.0432565828
"38",228041.37305,"1009",189593.241116021
"38",111653.17705,"1369",11268.8024096608
"38",31743.93631,"772",31748.227350153
"38",490565.73056,"782",436390.883950621
"38",51464.1844,"1353",7294.7772513209
"1",581455.67085,"1668",54959.6199330643
"1",203886.3723,"1448",7514.6343048511
"1",374240.58996,"1309",199909.34011511
"1",408231.45259,"1843",122993.674896872
"1",254902.10724,"1256",237245.278227828
"1",192893.57629,"814",192919.457180805
"1",168467.41378,"898",7262.4353796423
"1",310452.82162,"1502",128679.47258618
"1",148410.38913,"1474",140357.958924256
"1",162951.96907,"1271",909.1619322683
"1",210722.32416,"1162",137551.014040088
"1",148655.49548,"1325",100040.061292978
"1",288830.38208,"1218",735.9887334406
"1",443137.12492,"1364",5.7923772135
"78",1669844.39807,"2046",226724.698220408
"78",1710284.04973,"2441",936.5879349709
"78",723840.63041,"1738",23932.836685861
"13",117452.85085,"977",14615.1824292277
"13",128629.56629,"630",91784.7429390207
"13",151336.14692,"1050",48008.1224105377
"13",120230.67792,"713",120126.287822168
"13",111227.65178,"576",111242.657099729
"13",213037.37078,"832",171460.609644816
"13",218665.05686,"1273",6007.2643775337
"13",207423.42214,"1029",12734.6161484038
"69",177269.51405,"1758",37974.3755950369
"69",145803.40423,"1373",53761.8924268144
"69",345501.30472,"1348",134548.044146813
"69",110137.4218,"1196",97049.4331882428
"69",111713.48312,"1016",87797.0119599914
"69",1110550.55512,"1060",202303.742140733
"65",723840.63041,"1738",41596.7822139673
"65",631887.69762,"965",224321.454917629
"65",113637.53536,"931",97825.3118261248
"65",279137.37057,"1817",109036.095853511
"65",177269.51405,"1758",34239.4828954915
"65",145803.40423,"1373",510.8600805715
"14",443137.12492,"1364",20376.9519900794
"14",601884.47481,"1197",303099.375452153
"14",185349.81137,"987",69056.2496394166
"14",227309.00393,"1393",96862.4083493003
"14",245982.46852,"1831",31560.9563179018
"16",151336.14692,"1050",10546.8753939089
"16",213037.37078,"832",41605.4667345476
"16",218665.05686,"1273",133540.528891804
"16",92409.07631,"939",91149.2903634127
"16",207423.42214,"1029",194716.791671749
"16",216288.53288,"1801",78064.7060225257
"16",103298.59642,"1018",3142.3946604986
"16",215592.89829,"1191",62685.7520693239
"12",2501621.20956,"904",2065.0762116769
"12",162951.96907,"1271",1255.0206987401
"12",210722.32416,"1162",968.1285603442
"12",148655.49548,"1325",48301.9165588627
"12",296094.49665,"1128",273049.195958293
"12",443137.12492,"1364",382942.828908418
"12",601884.47481,"1197",2295.2747453796
"12",582101.83393,"891",278960.000688978
"12",185349.81137,"987",112397.716569284
"12",245982.46852,"1831",39538.7851686282
"76",631887.69762,"965",2031.7060039639
"76",319752.0581,"1712",11942.8692927095
"76",113637.53536,"931",15811.0881812908
"76",279137.37057,"1817",1622.1034773644
"76",175258.52639,"1296",109710.120421405
"76",177269.51405,"1758",99.205807751
"76",145803.40423,"1373",91550.1059557025
"76",370262.33557,"1022",44598.046614253
"76",345501.30472,"1348",111695.612156025
"29",333906.41825,"1495",21901.4952026482
"29",216288.53288,"1801",62756.2981458244
"29",119010.51415,"997",2475.2381520737
"29",164856.83024,"1495",101129.280997762
"29",169403.1582,"1275",873.6045596491
"29",209937.19483,"1195",102229.535592942
"29",132466.91664,"1004",77921.3461212981
"29",155550.30194,"1143",2723.730339639
"29",155243.22654,"664",75911.4948669568
"11",92409.07631,"939",1272.1676182784
"11",216288.53288,"1801",30882.7899959339
"11",132466.91664,"1004",5212.0050747203
"11",155550.30194,"1143",136770.872829923
"11",103298.59642,"1018",100170.035942164
"11",215592.89829,"1191",146883.757383548
"11",120453.95452,"1036",46356.3643901805
"11",322224.17755,"719",117298.556327965
"19",582101.83393,"891",23077.1111245896
"19",227309.00393,"1393",130477.202825212
"19",245982.46852,"1831",170506.968705697
"19",117452.85085,"977",102853.409148279
"19",128629.56629,"630",36862.1791450103
"19",66614.93571,"1058",66623.8227908122
"19",109788.34272,"1111",109799.038188058
"19",333906.41825,"1495",44367.4207235128
"19",151336.14692,"1050",64168.9870048735
"19",120230.67792,"713",120.4967820917
"70",110137.4218,"1196",492.1957865357
"70",111713.48312,"1016",18526.4371808767
"70",1110550.55512,"1060",306381.811223149
"27",582101.83393,"891",2535.6285480172
"27",333906.41825,"1495",232608.738125609
"27",109372.56684,"1259",20989.5737400254
"27",151336.14692,"1050",41982.3109688435
"27",130596.06752,"1101",17438.4845259711
"27",218665.05686,"1273",79405.7415031847
"27",128903.43012,"916",3086.4195936436
"27",216288.53288,"1801",45077.1583030631
"20",209937.19483,"1195",211.8503395254
"20",132466.91664,"1004",45185.7281485231
"20",155550.30194,"1143",16076.3926907439
"20",120453.95452,"1036",76428.4714221053
"20",322224.17755,"719",61156.5174981938
"20",127971.97164,"805",74521.8270894568
"20",140008.50726,"875",63464.195061071
"20",314028.07755,"773",68061.6700071972
"20",224540.10144,"1248",3000.3263337767
"20",629831.77442,"627",14863.1593835894
"83",723840.63041,"1738",4885.1892798245
"83",255150.97414,"2065",2210.8765173927
"83",382711.05997,"1743",230574.472734237
"83",279137.37057,"1817",168516.106803993
"83",212753.16325,"1264",30130.0891785584
"83",177269.51405,"1758",91153.9184815455
"66",382711.05997,"1743",52420.6048470934
"66",177269.51405,"1758",13826.0154527863
"66",266493.97505,"1480",74252.7657092267
"66",110137.4218,"1196",12610.4268406965
"66",111713.48312,"1016",5404.9356931432
"66",1110550.55512,"1060",356751.281147687
"66",196020.87452,"1053",10703.0471383781
"66",291612.05432,"1276",216514.017754037
